iter	Passed	Remaining
399	30395	44604
400	30475	44535
401	30551	44459
402	30637	44397
403	30711	44318
404	30788	44244
405	30864	44168
406	30933	44082
407	31007	44002
408	31088	43933
409	31161	43853
410	31241	43783
411	31324	43717
412	31395	43634
413	31473	43560
414	31547	43481
415	31624	43408
416	31701	43332
417	31771	43249
418	31852	43178
419	31925	43099
420	32000	43022
421	32085	42958
422	32160	42880
423	32235	42803
424	32305	42719
425	32382	42644
426	32446	42553
427	32525	42481
428	32597	42399
429	32675	42326
430	32759	42260
431	32838	42188
432	32914	42112
433	32988	42033
434	33056	41947
435	33123	41859
436	33196	41780
437	33264	41694
438	33336	41614
439	33406	41530
440	33479	41451
441	33549	41368
442	33628	41295
443	33698	41211
444	33769	41130
445	33842	41050
446	33921	40978
447	33990	40895
448	34071	40825
449	34147	40748
450	34224	40675
451	34303	40602
452	34369	40515
453	34438	40431
454	34521	40363
455	34597	40288
456	34674	40212
457	34735	40119
458	34813	40047
459	34891	39973
460	34969	39899
461	35037	39815
462	35108	39733
463	35182	39656
464	35258	39579
465	35336	39506
466	35411	39430
467	35490	39358
468	35568	39284
469	35643	39207
470	35716	39129
471	35786	39046
472	35870	38980
473	35950	38907
474	36025	38831
475	36101	38756
476	36176	38679
477	36251	38602
478	36332	38532
479	36407	38455
480	36481	38378
481	36559	38304
482	36637	38230
483	36710	38151
484	36782	38071
485	36864	38002
486	36948	37934
487	37028	37863
488	37106	37789
489	37186	37717
490	37262	37642
491	37345	37573
492	37424	37500
493	37499	37423
494	37579	37351
495	37657	37278
496	37727	37195
497	37794	37111
498	37867	37032
499	37945	36958
500	38014	36875
501	38090	36800
502	38170	36729
503	38252	36658
504	38323	36578
505	38397	36500
506	38468	36419
507	38542	36342
508	38608	36257
509	38685	36182
510	38767	36112
511	38839	36032
512	38911	35953
513	38987	35877
514	39073	35810
515	39146	35732
516	39221	35656
517	39298	35581
518	39371	35503
519	39446	35426
520	39517	35346
521	39594	35270
522	39662	35188
523	39736	35111
524	39816	35038
525	39895	34965
526	39969	34887
527	40044	34811
528	40115	34731
529	40192	34656
530	40275	34587
531	40347	34507
532	40422	34430
533	40501	34358
534	40570	34276
535	40641	34196
536	40724	34127
537	40803	34053
538	40877	33976
539	40954	33901
540	41025	33821
541	41099	33744
542	41178	33670
543	41256	33597
544	41329	33518
545	41410	33447
546	41485	33370
547	41564	33297
548	41643	33223
549	41713	33143
550	41782	33062
551	41864	32990
552	41941	32916
553	42018	32841
554	42091	32762
555	42170	32690
556	42251	32618
557	42330	32544
558	42400	32464
559	42475	32387
560	42568	32324
561	42653	32255
562	42728	32178
563	42810	32107
564	42885	32031
565	42964	31957
566	43046	31886
567	43128	31815
568	43210	31743
569	43289	31669
570	43369	31596
571	43453	31526
572	43525	31447
573	43596	31368
574	43669	31289
575	43745	31214
576	43823	31139
577	43897	31062
578	43981	30992
579	44049	30910
580	44117	30829
581	44197	30756
582	44280	30684
583	44357	30609
584	44436	30535
585	44503	30454
586	44587	30383
587	44677	30316
588	44749	30237
589	44825	30162
590	44908	30090
591	44983	30014
592	45063	29940
593	45134	29861
594	45205	29782
595	45287	29710
596	45385	29648
597	45486	29589
598	45576	29522
599	45664	29453
600	45740	29377
601	45818	29302
602	45901	29231
603	45990	29162
604	46074	29091
605	46157	29019
606	46230	28941
607	46304	28864
608	46370	28781
609	46446	28705
610	46521	28628
611	46598	28553
612	46672	28475
613	46751	28401
614	46829	28325
615	46911	28253
616	46985	28176
617	47060	28099
618	47136	28023
619	47215	27948
620	47293	27873
621	47368	27796
622	47444	27720
623	47523	27645
624	47597	27568
625	47667	27488
626	47744	27413
627	47829	27342
628	47909	27267
629	47980	27188
630	48058	27113
631	48143	27042
632	48218	26965
633	48292	26888
634	48365	26810
635	48442	26734
636	48523	26661
637	48609	26590
638	48682	26512
639	48763	26438
640	48842	26364
641	48924	26291
642	49011	26220
643	49083	26142
644	49169	26071
645	49243	25993
646	49318	25916
647	49384	25835
648	49459	25758
649	49541	25685
650	49623	25612
651	49690	25531
652	49771	25457
653	49852	25383
654	49935	25310
655	50011	25234
656	50091	25160
657	50160	25080
658	50231	25001
659	50237	24890
660	50312	24813
661	50386	24736
662	50461	24660
663	50535	24582
664	50605	24503
665	50686	24429
666	50763	24354
667	50833	24275
668	50909	24198
669	50982	24121
670	51058	24045
671	51133	23968
672	51202	23889
673	51272	23810
674	51280	23702
675	51351	23624
676	51426	23548
677	51495	23469
678	51571	23393
679	51649	23318
680	51731	23245
681	51801	23166
682	51869	23087
683	51952	23013
684	52034	22940
685	52104	22862
686	52135	22766
687	52211	22690
688	52285	22614
689	52364	22539
690	52435	22461
691	52511	22385
692	52585	22309
693	52667	22235
694	52737	22157
695	52816	22082
696	52884	22003
697	52961	21928
698	53030	21849
699	53107	21773
700	53179	21696
701	53271	21627
702	53348	21551
703	53433	21479
704	53504	21401
705	53576	21324
706	53644	21245
707	53714	21167
708	53783	21088
709	53852	21010
710	53925	20933
711	53992	20853
712	54067	20777
713	54151	20705
714	54229	20630
715	54303	20553
716	54382	20478
717	54460	20403
718	54544	20330
719	54611	20251
720	54684	20174
721	54762	20099
722	54843	20025
723	54924	19951
724	54995	19874
725	55061	19794
726	55125	19714
727	55198	19638
728	55281	19564
729	55361	19490
730	55438	19414
731	55508	19336
732	55589	19263
733	55673	19190
734	55754	19115
735	55839	19042
736	55928	18971
737	56008	18897
738	56081	18820
739	56146	18740
740	56224	18665
741	56308	18592
742	56387	18517
743	56469	18443
744	56563	18373
745	56659	18304
746	56757	18235
747	56838	18161
748	56924	18088
749	57000	18012
750	57076	17936
751	57163	17863
752	57168	17765
753	57244	17689
754	57318	17613
755	57395	17537
756	57469	17460
757	57547	17385
758	57615	17307
759	57690	17231
760	57767	17155
761	57846	17080
762	57921	17004
763	58000	16929
764	58074	16853
765	58153	16777
766	58225	16700
767	58304	16625
768	58384	16551
769	58461	16475
770	58542	16401
771	58612	16323
772	58616	16227
773	58697	16153
774	58766	16075
775	58850	16001
776	58926	15926
777	59002	15850
778	59081	15775
779	59152	15698
780	59223	15620
781	59291	15543
782	59360	15465
783	59438	15390
784	59514	15314
785	59594	15239
786	59672	15164
787	59753	15089
788	59830	15014
789	59903	14937
790	59976	14861
791	60047	14784
792	60127	14709
793	60208	14635
794	60289	14560
795	60362	14484
796	60441	14408
797	60527	14335
798	60609	14261
799	60690	14186
800	60757	14108
801	60826	14031
802	60894	13953
803	60898	13861
804	60973	13785
805	61052	13710
806	61122	13633
807	61197	13557
808	61272	13481
809	61340	13404
810	61415	13328
811	61494	13253
812	61576	13178
813	61654	13103
814	61731	13028
815	61803	12951
816	61879	12875
817	61956	12800
818	62025	12723
819	62099	12647
820	62171	12570
821	62242	12494
822	62317	12418
823	62384	12340
824	62463	12265
825	62539	12189
826	62615	12114
827	62684	12037
828	62762	11961
829	62837	11886
830	62923	11812
831	62995	11736
832	63080	11661
833	63153	11585
834	63231	11510
835	63314	11435
836	63390	11360
837	63459	11283
838	63525	11205
839	63594	11129
840	63669	11053
841	63750	10978
842	63820	10901
843	63886	10824
844	63960	10748
845	64033	10672
846	64113	10597
847	64179	10519
848	64247	10443
849	64316	10366
850	64395	10291
851	64466	10214
852	64535	10138
853	64609	10062
854	64688	9986
855	64756	9910
856	64825	9833
857	64899	9757
858	64967	9680
859	65033	9603
860	65108	9528
861	65187	9453
862	65274	9378
863	65354	9303
864	65440	9229
865	65521	9154
866	65597	9079
867	65671	9003
868	65750	8928
869	65819	8851
870	65891	8775
871	65969	8700
872	66038	8623
873	66105	8546
874	66184	8471
875	66262	8396
876	66353	8322
877	66445	8248
878	66531	8174
879	66607	8098
880	66674	8022
881	66749	7946
882	66826	7870
883	66900	7794
884	66978	7719
885	67049	7643
886	67113	7566
887	67181	7489
888	67260	7414
889	67338	7339
890	67343	7255
891	67412	7179
892	67490	7104
893	67564	7028
894	67646	6953
895	67723	6878
896	67792	6801
897	67871	6726
898	67953	6651
899	68037	6576
900	68116	6501
901	68193	6426
902	68268	6350
903	68345	6275
904	68355	6193
905	68429	6117
906	68510	6042
907	68584	5967
908	68666	5892
909	68741	5816
910	68817	5741
911	68891	5665
912	68970	5590
913	69040	5514
914	69116	5438
915	69187	5362
916	69264	5287
917	69342	5211
918	69417	5136
919	69490	5060
920	69563	4984
921	69643	4909
922	69717	4834
923	69789	4758
924	69865	4682
925	69932	4606
926	70002	4530
927	70070	4454
928	70151	4379
929	70228	4304
930	70297	4228
931	70375	4153
932	70447	4077
933	70518	4001
934	70586	3925
935	70664	3850
936	70738	3774
937	70809	3699
938	70878	3623
939	70957	3547
940	71033	3472
941	71099	3396
942	71175	3321
943	71251	3245
944	71322	3169
945	71394	3094
946	71466	3018
947	71542	2943
948	71619	2867
949	71689	2792
950	71763	2716
951	71829	2640
952	71900	2565
953	71970	2489
954	72048	2414
955	72133	2339
956	72138	2261
957	72214	2186
958	72294	2110
959	72368	2035
960	72444	1959
961	72521	1884
962	72597	1809
963	72673	1733
964	72737	1658
965	72811	1582
966	72890	1507
967	72964	1432
968	73042	1356
969	73122	1281
970	73199	1206
971	73273	1130
972	73348	1055
973	73424	979
974	73506	904
975	73586	829
976	73663	753
977	73740	678
978	73818	603
979	73897	527
980	73974	452
981	74049	377
982	74120	301
983	74192	226
984	74265	150
985	74342	75
986	74420	0
