iter	Logloss
0	0.673253891
1	0.6545199907
2	0.6362746568
3	0.6198712743
4	0.604442289
5	0.589825445
6	0.5750175686
7	0.5613658908
8	0.5486590922
9	0.5366045412
10	0.5245632013
11	0.513279792
12	0.5022547173
13	0.4923485598
14	0.4828806615
15	0.4738160349
16	0.4647087324
17	0.4565494292
18	0.4478930691
19	0.4401700132
20	0.4329040057
21	0.4260784674
22	0.419591917
23	0.4131864304
24	0.4072217421
25	0.401148353
26	0.3957283666
27	0.3905496564
28	0.3854842392
29	0.3810685975
30	0.3766085573
31	0.3733432449
32	0.3693615228
33	0.3654554833
34	0.3614693071
35	0.3572770565
36	0.3535010492
37	0.3496249898
38	0.3466772188
39	0.3434443315
40	0.3406312179
41	0.3375865608
42	0.3344912879
43	0.3319176835
44	0.3294491863
45	0.3274543994
46	0.3247260078
47	0.3222758323
48	0.3200097503
49	0.3178795968
50	0.3155845218
51	0.31326629
52	0.3111469064
53	0.3094598308
54	0.3072278675
55	0.3056406594
56	0.3033437894
57	0.3016004429
58	0.2994488161
59	0.2974894115
60	0.2955776344
61	0.2937159769
62	0.2924386418
63	0.2910610089
64	0.2901315382
65	0.2887242748
66	0.2872993676
67	0.2858025064
68	0.2836010896
69	0.2824064194
70	0.2806934349
71	0.2794840225
72	0.2781203275
73	0.277110014
74	0.2757406386
75	0.2741255511
76	0.2728602481
77	0.2711621843
78	0.2699743408
79	0.2686514911
80	0.2676346117
81	0.265954699
82	0.264478356
83	0.2628667943
84	0.2617700466
85	0.2607324557
86	0.2597518572
87	0.2586933497
88	0.2572981692
89	0.2560284474
90	0.2549443399
91	0.2541748407
92	0.2521534017
93	0.2513938303
94	0.2500985544
95	0.2489719061
96	0.2476459588
97	0.2465140394
98	0.2452187363
99	0.2442809447
100	0.2432796911
101	0.2424789196
102	0.2408698748
103	0.2396966602
104	0.2386328203
105	0.2376147427
106	0.2368565394
107	0.2359781249
108	0.2350433416
109	0.2340661665
110	0.2329561438
111	0.2320825091
112	0.2311605077
113	0.2304044436
114	0.2289477384
115	0.2281634737
116	0.2275948857
117	0.2265931813
118	0.2256088681
119	0.2251641351
120	0.2245248466
121	0.2234413672
122	0.2223795639
123	0.2219123244
124	0.2216931611
125	0.2205708648
126	0.2195359386
127	0.2184646388
128	0.2175782272
129	0.2169498205
130	0.2162449855
131	0.2154629023
132	0.2147099805
133	0.214314428
134	0.2126428309
135	0.2121865325
136	0.211504705
137	0.2111160381
138	0.2101498049
139	0.2095562788
140	0.2086925272
141	0.2084063846
142	0.2077266102
143	0.2057401273
144	0.2050838243
145	0.2044659954
146	0.2038731033
147	0.2033312991
148	0.2023359255
149	0.202030094
150	0.2012904402
151	0.2007032037
152	0.1997335344
153	0.1992326443
154	0.1988603648
155	0.1979153457
156	0.1975969977
157	0.1970774112
158	0.1966883576
159	0.1958324657
160	0.1953182544
161	0.1947054223
162	0.1943129103
163	0.1933063393
164	0.1930437817
165	0.1924746568
166	0.1914986232
167	0.1908324372
168	0.1901719666
169	0.1896782974
170	0.1892869115
171	0.1887418743
172	0.1881846987
173	0.187667628
174	0.1871319221
175	0.1865970378
176	0.1860373206
177	0.1857528604
178	0.1849433231
179	0.1844352011
180	0.1839518359
181	0.1833723955
182	0.1829654323
183	0.1824274243
184	0.1819976373
185	0.181430198
186	0.1808150332
187	0.1804371108
188	0.1801800628
189	0.1794953666
190	0.1789827648
191	0.1789136848
192	0.178179052
193	0.1774975986
194	0.1770154778
195	0.1765842257
196	0.1763173404
197	0.1757686912
198	0.1751987215
199	0.1749247822
200	0.1743182554
201	0.1738575578
202	0.1729536716
203	0.1725695955
204	0.1723013739
205	0.1718590516
206	0.1718043551
207	0.171566946
208	0.1711760706
209	0.1708310051
210	0.1704378236
211	0.1701475993
212	0.1698910098
213	0.1696726854
214	0.1692701911
215	0.1692503177
216	0.1689347178
217	0.1686782381
218	0.1681444582
219	0.1674220067
220	0.1661613018
221	0.1658003498
222	0.1651279491
223	0.1647853617
224	0.1644929985
225	0.1641329346
226	0.1639015598
227	0.1630915924
228	0.1626991076
229	0.1623572624
230	0.1622245146
231	0.1619261067
232	0.1615913613
233	0.1612673826
234	0.1609997611
235	0.1603917617
236	0.1599382891
237	0.1593292968
238	0.1590127056
239	0.1584176187
240	0.1580736381
241	0.1576441126
242	0.1573241989
243	0.1569364929
244	0.1562671654
245	0.1560499744
246	0.1557422514
247	0.1554025294
248	0.1551688888
249	0.1548302045
250	0.1545449272
251	0.1543767229
252	0.1540153094
253	0.153535201
254	0.1533097566
255	0.153002948
256	0.1525441666
257	0.1522271934
258	0.1520808777
259	0.1515694507
260	0.1513281081
261	0.1510131965
262	0.1507746598
263	0.1505663519
264	0.150392276
265	0.1499429849
266	0.1496791607
267	0.1495471473
268	0.1491366321
269	0.1486232165
270	0.1483359575
271	0.1480723925
272	0.1477908504
273	0.147315961
274	0.1467527013
275	0.1465668637
276	0.1460209662
277	0.1456737434
278	0.145179985
279	0.1449526634
280	0.1445822157
281	0.1441163179
282	0.1437334905
283	0.143534184
284	0.1426476622
285	0.142325843
286	0.1418678831
287	0.141708644
288	0.1412625711
289	0.1411194576
290	0.140942171
291	0.1403891436
292	0.1401194014
293	0.1398803689
294	0.139661999
295	0.1394454708
296	0.1391506443
297	0.13899252
298	0.1386788239
299	0.1382853613
300	0.1381111183
301	0.137794953
302	0.1374921178
303	0.1372573426
304	0.1368304198
305	0.1366845281
306	0.1361861588
307	0.1359226282
308	0.1355354454
309	0.1352876579
310	0.1351315652
311	0.1348151175
312	0.134461842
313	0.1343313252
314	0.1340880738
315	0.1339722334
316	0.133476677
317	0.1329907901
318	0.132984171
319	0.1328452335
320	0.1325794255
321	0.1320901799
322	0.1320148675
323	0.1317942672
324	0.1316656863
325	0.1313963166
326	0.1309802367
327	0.1308499153
328	0.1304811431
329	0.1301622256
330	0.1298957373
331	0.129653393
332	0.1294645078
333	0.1288879535
334	0.1286402546
335	0.1285122956
336	0.128122339
337	0.1278647742
