iter	Passed	Remaining
401	20436	29739
402	20491	29695
403	20545	29648
404	20590	29589
405	20640	29537
406	20688	29483
407	20738	29430
408	20789	29379
409	20835	29321
410	20880	29263
411	20931	29212
412	20975	29152
413	21020	29094
414	21065	29034
415	21115	28982
416	21160	28924
417	21201	28860
418	21255	28813
419	21307	28765
420	21357	28712
421	21402	28655
422	21452	28602
423	21506	28556
424	21565	28516
425	21620	28472
426	21674	28425
427	21726	28377
428	21777	28326
429	21825	28271
430	21873	28217
431	21921	28163
432	21964	28102
433	22019	28056
434	22066	28001
435	22113	27946
436	22160	27891
437	22207	27835
438	22212	27727
439	22262	27676
440	22305	27616
441	22356	27566
442	22400	27507
443	22445	27450
444	22496	27400
445	22553	27357
446	22601	27303
447	22644	27244
448	22698	27197
449	22738	27135
450	22781	27074
451	22832	27025
452	22880	26971
453	22923	26912
454	22971	26858
455	23022	26809
456	23079	26765
457	23130	26716
458	23179	26663
459	23224	26607
460	23291	26575
461	23348	26532
462	23398	26480
463	23451	26433
464	23492	26372
465	23538	26316
466	23588	26265
467	23637	26213
468	23686	26161
469	23733	26106
470	23779	26051
471	23825	25996
472	23873	25942
473	23916	25883
474	23977	25844
475	24029	25796
476	24081	25747
477	24128	25693
478	24178	25641
479	24228	25591
480	24278	25540
481	24321	25481
482	24368	25428
483	24412	25370
484	24462	25319
485	24510	25266
486	24557	25213
487	24612	25167
488	24658	25112
489	24706	25059
490	24754	25007
491	24803	24954
492	24848	24898
493	24896	24845
494	24937	24786
495	24981	24729
496	25027	24674
497	25079	24626
498	25129	24575
499	25180	24525
500	25225	24469
501	25278	24422
502	25327	24370
503	25376	24319
504	25425	24267
505	25471	24213
506	25517	24158
507	25567	24107
508	25614	24054
509	25663	24002
510	25712	23951
511	25759	23898
512	25808	23846
513	25855	23792
514	25903	23740
515	25952	23689
516	25997	23634
517	26043	23579
518	26091	23527
519	26139	23475
520	26185	23421
521	26233	23368
522	26283	23318
523	26331	23266
524	26378	23212
525	26423	23158
526	26472	23106
527	26527	23060
528	26574	23007
529	26624	22957
530	26670	22903
531	26719	22852
532	26765	22798
533	26809	22742
534	26857	22690
535	26906	22639
536	26955	22588
537	27003	22536
538	27050	22483
539	27096	22429
540	27143	22377
541	27190	22324
542	27233	22268
543	27276	22212
544	27321	22158
545	27368	22105
546	27416	22053
547	27467	22003
548	27517	21953
549	27565	21902
550	27614	21850
551	27665	21801
552	27709	21746
553	27756	21694
554	27802	21640
555	27849	21588
556	27893	21533
557	27940	21481
558	27983	21425
559	28029	21372
560	28075	21319
561	28117	21262
562	28165	21211
563	28207	21155
564	28254	21103
565	28302	21051
566	28347	20998
567	28396	20947
568	28438	20891
569	28476	20833
570	28527	20783
571	28570	20728
572	28620	20678
573	28671	20629
574	28721	20579
575	28764	20524
576	28815	20475
577	28853	20417
578	28907	20369
579	28952	20316
580	28999	20264
581	29048	20213
582	29093	20161
583	29154	20118
584	29209	20072
585	29263	20024
586	29310	19973
587	29358	19921
588	29411	19874
589	29459	19822
590	29463	19742
591	29505	19686
592	29556	19638
593	29597	19582
594	29644	19530
595	29685	19474
596	29737	19426
597	29782	19373
598	29830	19322
599	29880	19273
600	29941	19230
601	29990	19180
602	30039	19129
603	30087	19078
604	30132	19025
605	30181	18975
606	30230	18924
607	30277	18873
608	30325	18822
609	30371	18770
610	30415	18717
611	30461	18664
612	30504	18611
613	30550	18559
614	30589	18503
615	30631	18448
616	30675	18395
617	30723	18344
618	30770	18293
619	30824	18246
620	30872	18195
621	30920	18144
622	30961	18089
623	31010	18040
624	31058	17989
625	31104	17937
626	31155	17888
627	31202	17836
628	31250	17786
629	31300	17736
630	31350	17687
631	31356	17613
632	31399	17559
633	31446	17509
634	31492	17457
635	31539	17406
636	31579	17351
637	31629	17301
638	31676	17251
639	31724	17200
640	31771	17149
641	31822	17100
642	31864	17047
643	31911	16996
644	31961	16947
645	32010	16897
646	32061	16848
647	32108	16797
648	32155	16746
649	32201	16695
650	32252	16646
651	32304	16598
652	32353	16548
653	32400	16497
654	32440	16443
655	32489	16393
656	32531	16340
657	32579	16289
658	32629	16240
659	32672	16187
660	32719	16137
661	32769	16087
662	32817	16037
663	32869	15989
664	32912	15936
665	32962	15887
666	33013	15838
667	33063	15789
668	33109	15738
669	33153	15686
670	33195	15632
671	33242	15582
672	33288	15531
673	33334	15480
674	33385	15431
675	33434	15381
676	33436	15310
677	33483	15260
678	33529	15209
679	33577	15159
680	33582	15089
681	33631	15040
