iter	Logloss
0	0.6733282388
1	0.654433759
2	0.6363448469
3	0.6200188581
4	0.6045126634
5	0.5888500364
6	0.5741153517
7	0.5598988828
8	0.5465490984
9	0.5339003633
10	0.5218167699
11	0.509625364
12	0.4987409367
13	0.488033271
14	0.4779840079
15	0.4686334146
16	0.4597317985
17	0.4514056294
18	0.4430541488
19	0.4352911693
20	0.428130831
21	0.421195297
22	0.4143443699
23	0.4081753785
24	0.4023305
25	0.3971650244
26	0.3918478807
27	0.3867097627
28	0.3817277199
29	0.3768612777
30	0.3722352155
31	0.3678795953
32	0.3639397318
33	0.3607645366
34	0.3567705644
35	0.3528764214
36	0.3494451434
37	0.345421538
38	0.3422060763
39	0.3388473097
40	0.3359380767
41	0.3325332377
42	0.3299778557
43	0.3270662668
44	0.3241973938
45	0.3222562762
46	0.3201868552
47	0.3176631089
48	0.315371839
49	0.3133256453
50	0.3111494805
51	0.3088941415
52	0.3068049541
53	0.3050714629
54	0.3031974559
55	0.3015579937
56	0.2994610134
57	0.2974939708
58	0.2953337882
59	0.2937586498
60	0.2912052456
61	0.289422509
62	0.2880621456
63	0.2866720045
64	0.2857397768
65	0.2843252427
66	0.2828665971
67	0.2814907164
68	0.2801135493
69	0.2781320348
70	0.2766783253
71	0.2756246823
72	0.2744013443
73	0.2729788828
74	0.27158934
75	0.2705299025
76	0.2691451635
77	0.2677693133
78	0.266595276
79	0.2654046351
80	0.2643427487
81	0.263022782
82	0.2616600745
83	0.2605007465
84	0.2594066606
85	0.2581204405
86	0.2567911829
87	0.2557435872
88	0.25395838
89	0.2525049415
90	0.2516190105
91	0.2508727334
92	0.2489109228
93	0.2481659606
94	0.2469042768
95	0.2458959587
96	0.2447969827
97	0.2438534529
98	0.2425971933
99	0.2416374023
100	0.2407545162
101	0.2398347454
102	0.2386379374
103	0.2373599653
104	0.2361645829
105	0.2348909857
106	0.2342087705
107	0.2332559273
108	0.2323614865
109	0.2311524217
110	0.2300631481
111	0.2291535093
112	0.2280608225
113	0.2272372865
114	0.2260900872
115	0.2252436198
116	0.2247160747
117	0.22362231
118	0.22291998
119	0.222448164
120	0.2216307322
121	0.2204900708
122	0.2197786626
123	0.2193761433
124	0.2191149052
125	0.2182807897
126	0.2173701793
127	0.2160126204
128	0.2153208807
129	0.2146596341
130	0.2140286494
131	0.2130498602
132	0.2122885279
133	0.2118994269
134	0.2112521896
135	0.2106649766
136	0.2096056725
137	0.2091698745
138	0.2077348846
139	0.2073319294
140	0.2065707037
141	0.2062895952
142	0.2054869144
143	0.2035855131
144	0.2029463825
145	0.2024038743
146	0.2017809228
147	0.2012306718
148	0.2002165289
149	0.1999446049
150	0.1991948231
151	0.1981993339
152	0.1974231893
153	0.1969655061
154	0.196225082
155	0.1953748327
156	0.1945038727
157	0.1941137934
158	0.1938409215
159	0.1932091666
160	0.1923589852
161	0.191851421
162	0.1911686147
163	0.1906406774
164	0.1894309569
165	0.1888171806
166	0.1880429615
167	0.1874200678
168	0.186809032
169	0.1863466382
170	0.1860200504
171	0.1857127766
172	0.185062313
173	0.1846225703
174	0.1839985372
175	0.1834383298
176	0.1828738028
177	0.1825494397
178	0.1820399692
179	0.1817653456
180	0.1813884834
181	0.1810199327
182	0.1806123431
183	0.1800571023
184	0.179251325
185	0.1787875731
186	0.1782263648
187	0.1778187693
188	0.1775799245
189	0.1772862812
190	0.1770072054
191	0.1767183131
192	0.1763737867
193	0.1756129316
194	0.1748915182
195	0.1744723978
196	0.1741726596
197	0.173929182
198	0.173461208
199	0.1732320796
200	0.1728282509
201	0.1724255432
202	0.1717309006
203	0.171308069
204	0.1710570054
205	0.1710295257
206	0.1701961575
207	0.1693882331
208	0.1687081799
209	0.1682065791
210	0.1676851881
211	0.1671361283
212	0.1666140912
213	0.1665650256
214	0.1660530544
215	0.1658130658
216	0.1656696983
217	0.1652433713
218	0.1648736008
219	0.1646329063
220	0.1643550193
221	0.1639770827
222	0.1635085793
223	0.1628566677
224	0.1623077314
225	0.1620577911
226	0.1616920248
227	0.1609685513
228	0.1606922302
229	0.1600121156
230	0.1594257536
231	0.1590619188
232	0.1586630042
233	0.1578954727
234	0.1576885752
235	0.1573205676
236	0.1569930768
237	0.1567069299
238	0.156328377
239	0.1559456974
240	0.1555716459
241	0.1553571182
242	0.1552146566
243	0.1546453953
244	0.1539613393
245	0.1536724114
246	0.1533092287
247	0.1527910826
248	0.1525885244
249	0.1519712307
250	0.1516584847
251	0.1512605514
252	0.1510199681
253	0.1505826943
254	0.1498748583
255	0.1496095444
256	0.1493333585
257	0.1489078458
258	0.1487122193
259	0.1485694431
260	0.1480860621
261	0.1477535407
262	0.1477157343
263	0.1474224369
264	0.1472286917
265	0.1470281775
266	0.1465674306
267	0.1463991641
268	0.1460695747
269	0.1453646031
270	0.1451591008
271	0.1451339507
272	0.1447389559
273	0.1445474689
274	0.1443584481
275	0.1442209935
276	0.1440611066
277	0.143895568
278	0.1438792148
279	0.14365084
280	0.1435610944
281	0.1433996314
282	0.1430407517
283	0.1427586211
284	0.1424954378
285	0.1422194329
286	0.1419417725
287	0.1414715993
288	0.1411866171
289	0.1408476595
290	0.1406246499
291	0.1404008748
292	0.140025013
293	0.1398787073
294	0.1394707938
295	0.1391627294
296	0.1386223269
297	0.138354948
298	0.1378172573
299	0.1375564115
300	0.1372107331
301	0.1368003268
302	0.1366815202
303	0.136410366
304	0.1358937893
305	0.1354408613
306	0.1352719068
307	0.1349672993
308	0.1347628864
309	0.1344660082
310	0.1342883479
